transaction_id,from_account,to_account,from_name,to_name,amount,timestamp,channel,ifsc_from,ifsc_to,location,lat,lon,note
TAGD001,BOI8830019456,BOI5510847231,PM Kisan DBT,Chandrashekhar Yadav,6000.00,2025-10-08 11:02:00,NEFT,BKID0008830,BKID0005510,Aurangabad,19.8762,75.3433,govt_dbt_credit_agri
TAGD002,BOI8830109345,BOI5510847231,PM Kisan DBT,Sitaram Bhosale,6000.00,2025-10-08 11:04:00,NEFT,BKID0008830,BKID0005510,Aurangabad,19.8762,75.3433,govt_dbt_credit_agri
TAGD003,BOI8830223456,BOI5510847231,PM Kisan DBT,Laxmibai Pawar,6000.00,2025-10-08 11:06:00,NEFT,BKID0008830,BKID0005510,Aurangabad,19.8762,75.3433,govt_dbt_credit_agri
TAGD004,BOI8830334512,BOI5510847231,PM Kisan DBT,Mahadev Shinde,6000.00,2025-10-08 11:08:00,NEFT,BKID0008830,BKID0005510,Aurangabad,19.8762,75.3433,govt_dbt_credit_agri
TAGD005,BOI8830445621,BOI5510847231,PM Kisan DBT,Vimalabai Mane,6000.00,2025-10-08 11:10:00,NEFT,BKID0008830,BKID0005510,Aurangabad,19.8762,75.3433,govt_dbt_credit_agri
TAGD006,BOI8830556734,BOI5510847231,PM Kisan DBT,Dattatray Kulkarni,6000.00,2025-10-08 11:12:00,NEFT,BKID0008830,BKID0005510,Aurangabad,19.8762,75.3433,govt_dbt_credit_agri
TAGD007,BOI8830667845,BOI5510847231,PM Kisan DBT,Surekha Jadhav,6000.00,2025-10-08 11:14:00,NEFT,BKID0008830,BKID0005510,Aurangabad,19.8762,75.3433,govt_dbt_credit_agri
TAGD008,BOI8830778956,BOI5510847231,PM Kisan DBT,Bapurao Gaikwad,6000.00,2025-10-08 11:16:00,NEFT,BKID0008830,BKID0005510,Aurangabad,19.8762,75.3433,govt_dbt_credit_agri
TAGD009,BOI8830889067,BOI5510847231,PM Kisan DBT,Rukma Sawant,6000.00,2025-10-08 11:18:00,NEFT,BKID0008830,BKID0005510,Aurangabad,19.8762,75.3433,govt_dbt_credit_agri
TAGD010,BOI8830990178,BOI5510847231,PM Kisan DBT,Namdev Deshmukh,6000.00,2025-10-08 11:20:00,NEFT,BKID0008830,BKID0005510,Aurangabad,19.8762,75.3433,govt_dbt_credit_agri
TAGD011,BOI5510847231,BOI3390412678,Chandrashekhar Yadav,Suhas Patil,47500.00,2025-10-08 14:33:00,IMPS,BKID0005510,BKID0003390,Pune,18.5204,73.8567,diversion_aggregator
TAGD012,BOI5510847231,BOI3390412678,Chandrashekhar Yadav,Suhas Patil,9800.00,2025-10-08 15:12:00,UPI,BKID0005510,BKID0003390,Pune,18.5204,73.8567,diversion_aggregator
TAGD013,BOI3390412678,BOI1170923456,Suhas Patil,Prakash Kale,38000.00,2025-10-09 09:44:00,NEFT,BKID0003390,BKID0001170,Mumbai,19.0760,72.8777,layering_transfer
TAGD014,BOI3390412678,BOI1170923456,Suhas Patil,Prakash Kale,16900.00,2025-10-09 11:22:00,NEFT,BKID0003390,BKID0001170,Mumbai,19.0760,72.8777,layering_transfer
TAGD015,BOI1170923456,BOI9950234178,Prakash Kale,Vijay Merchants Pvt,54500.00,2025-10-10 10:15:00,RTGS,BKID0001170,BKID0009950,Mumbai,19.0760,72.8777,exit_shell_entity
