transaction_id,from_account,to_account,from_name,to_name,amount,timestamp,channel,ifsc_from,ifsc_to,location,lat,lon,note
TDRA000,BOI9812034561,BOI0010000001,Rambilas Yadav,State Electricity Board,1200.00,2022-03-15 10:30:00,NEFT,BKID0004421,BKID0000001,Patna,25.5941,85.1376,last_normal_transaction_pre_dormancy
TDRA001,BOI9812034561,BOI4421087653,Rambilas Yadav,Suresh Tiwari,87500.00,2025-10-03 09:14:00,NEFT,BKID0004421,BKID0004789,Patna,25.5941,85.1376,dormant_reactivation_credit
TDRA002,BOI9812034561,BOI4421087653,Rambilas Yadav,Suresh Tiwari,92000.00,2025-10-03 11:42:00,NEFT,BKID0004421,BKID0004789,Patna,25.5941,85.1376,dormant_reactivation_credit
TDRA003,BOI9812034561,BOI4421087653,Rambilas Yadav,Suresh Tiwari,74800.00,2025-10-04 08:55:00,NEFT,BKID0004421,BKID0004789,Patna,25.5941,85.1376,dormant_reactivation_credit
TDRA004,BOI4421087653,BOI7734902811,Suresh Tiwari,Mohan Gupta,194000.00,2025-10-04 14:22:00,IMPS,BKID0004789,BKID0005102,Muzaffarpur,26.1197,85.3910,aggregation_transfer
TDRA005,BOI4421087653,BOI3309876541,Suresh Tiwari,Savita Kumari,145500.00,2025-10-04 14:37:00,IMPS,BKID0004789,BKID0005228,Muzaffarpur,26.1197,85.3910,aggregation_transfer
TDRA006,BOI7734902811,BOI6612349087,Mohan Gupta,Dilip Prasad,89200.00,2025-10-05 10:08:00,UPI,BKID0005102,BKID0005341,Varanasi,25.3176,82.9739,layering_dispersal
TDRA007,BOI7734902811,BOI2298761234,Mohan Gupta,Anita Devi,96500.00,2025-10-05 10:19:00,UPI,BKID0005102,BKID0005456,Varanasi,25.3176,82.9739,layering_dispersal
TDRA008,BOI3309876541,BOI8821034567,Savita Kumari,Rajkumar Singh,68000.00,2025-10-05 11:33:00,IMPS,BKID0005228,BKID0005589,Allahabad,25.4358,81.8463,layering_dispersal
TDRA009,BOI3309876541,BOI5543219087,Savita Kumari,Priya Jaiswal,71000.00,2025-10-05 11:48:00,IMPS,BKID0005228,BKID0005712,Allahabad,25.4358,81.8463,layering_dispersal
TDRA010,BOI6612349087,BOI1109873456,Dilip Prasad,Bablu Sharma,43500.00,2025-10-06 09:22:00,UPI,BKID0005341,BKID0005834,Lucknow,26.8467,80.9462,cashout_exit
TDRA011,BOI6612349087,BOI1109873456,Dilip Prasad,Bablu Sharma,41000.00,2025-10-06 09:45:00,UPI,BKID0005341,BKID0005834,Lucknow,26.8467,80.9462,cashout_exit
TDRA012,BOI2298761234,BOI1109873456,Anita Devi,Bablu Sharma,48000.00,2025-10-06 10:12:00,UPI,BKID0005456,BKID0005834,Lucknow,26.8467,80.9462,cashout_exit
TDRA013,BOI8821034567,BOI1109873456,Rajkumar Singh,Bablu Sharma,34200.00,2025-10-06 10:35:00,UPI,BKID0005589,BKID0005834,Lucknow,26.8467,80.9462,cashout_exit
TDRA014,BOI5543219087,BOI1109873456,Priya Jaiswal,Bablu Sharma,36500.00,2025-10-06 10:51:00,UPI,BKID0005712,BKID0005834,Lucknow,26.8467,80.9462,cashout_exit
